hblock,streetuse,length,RackDist,InterDist,BikewayDis,ParkDist,StationDis,BusDist,SignalDist,Population,Pop_employ,Empl_rate,Bike_Commu,age_avg,age_median,area,Pop_densit,Arterial,Collector,Residentia,SecArteria,NUM_Thefts,NUM_racks,NUM_parkin,NUM_statio,NUM_bus,NUM_inters,NUM_signal,CompDev,Commercial,Industrial,MultiRes,OneRes,TwoRes
2500 ALDER ST,Residential,51.229,125.732,25.614,0.0,39.865,1208.451,76.434,81.842,33620,9590,53.9,455,43.4,40.2,3638258.8024592097,0.009240684026457,0,0,1,0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0,1,0,1,0,0
400 E 50TH AV,Residential,250.859,321.718,73.725,178.473,276.792,1557.898,122.164,208.101,36500,12555,66.2,1155,39.8,38.7,6580960.970335784,0.005546302457122,0,0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
600 W 45TH AV,Residential,100.021,454.287,117.781,0.578,1877.499,478.603,254.892,268.611,13030,5405,47.2,70,44.3,45.1,4026970.0669390145,0.003235683350858,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
6900 COMMERCIAL ST,Residential,166.022,237.155,83.011,359.872,1576.244,3080.074,236.025,254.304,31065,6065,54.9,510,43.7,44.3,5504918.44413391,0.005643135373441,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
3600 NORMANDY DRIVE,Residential,117.7,1505.314,58.85,109.698,2033.8,1160.516,107.659,158.326,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
4700-4800 PATON ST,Residential,135.15,749.023,88.189,110.89,722.755,3313.155,485.461,513.668,15295,6320,48.4,205,44.6,46.2,3703560.327458601,0.004129809871491,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
800 W KENT AV SOUTH,Residential,256.56,789.428,123.802,228.781,2443.422,889.745,256.407,338.439,24460,17765,60.4,755,41.9,42.2,6007639.575359696,0.004071482600308,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
2000 E 28TH AV,Residential,120.284,136.736,60.142,253.815,1620.178,625.636,137.705,134.259,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
4900 DUMFRIES ST,Residential,45.528,631.834,22.764,0.0,1305.687,1612.549,141.682,22.764,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,1,0
3200 E 26TH AV,Residential,53.928,828.622,26.964,50.836,1365.154,912.835,37.753,96.921,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,0,1,0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0
4700 W 6TH AV,Residential,328.549,592.084,118.69,195.483,585.012,7035.544,202.422,291.471,13065,3755,55.8,175,42.1,43.9,5304418.066323932,0.002463041154872,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
4300 CYPRESS ST,Residential,138.9,1135.402,69.45,241.145,1104.199,2456.851,282.018,325.01,8430,5910,49.0,205,43.8,45.7,4483905.832021184,0.001880057324085,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1600 W 8TH AV,Residential,172.588,150.963,86.294,96.817,6.435,1834.283,147.154,126.941,33620,9590,53.9,455,43.4,40.2,3638258.8024592097,0.009240684026457,0,0,1,0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
2500 LAKEWOOD DRIVE,Residential,55.365,429.211,27.682,8.584,527.257,478.67,35.394,27.682,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,1,1,1
2900 BALACLAVA ST,Residential,50.306,264.511,25.153,0.0,433.509,4128.966,222.56,235.319,43045,15080,57.0,110,40.6,37.7,6367985.032080911,0.006759595034088,0,0,1,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
4500 EARLES ST,Secondary Arterial,121.812,176.135,60.906,23.453,1079.287,244.488,8.123,60.906,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,1,0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,1,0
8000-8200 OAK ST,Arterial,251.277,684.307,125.639,128.135,2642.967,985.853,87.574,125.639,24460,17765,60.4,755,41.9,42.2,6007639.575359696,0.004071482600308,1,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0
6100-6200 VINE ST,Residential,107.567,316.75,102.775,115.574,430.424,3213.525,319.545,323.929,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
5000 MCHARDY ST,Residential,70.344,246.728,47.979,96.772,578.608,242.671,170.952,245.148,51530,27425,61.0,370,41.2,40.0,8106850.399999439,0.006356352647139,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0
300 TEMPLETON DRIVE,Residential,53.122,129.89,26.561,140.604,8.206,2148.842,37.426,26.561,29175,21635,71.8,1590,40.2,38.1,4757978.609741545,0.006131805624402,0,0,1,0,16.0,0.0,2.0,0.0,1.0,1.0,1.0,0,1,0,1,0,0
4100 GLADSTONE ST,Residential,41.137,334.562,20.569,27.174,1485.094,338.958,323.754,296.806,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
700 SE MARINE DRIVE,Arterial,98.026,1570.332,49.013,330.417,366.179,2058.951,63.74,160.086,36500,12555,66.2,1155,39.8,38.7,6580960.970335784,0.005546302457122,1,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
1900 ALMA ST,Arterial,49.688,79.341,24.844,73.962,638.374,4676.11,77.193,74.51,13065,3755,55.8,175,42.1,43.9,5304418.066323932,0.002463041154872,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,1,1
5500 VICTORIA DRIVE,Secondary Arterial,48.765,4.525,24.382,139.004,1790.9,1663.34,13.228,87.62,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,1,0,0,1,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0,1,0,0,0,1
0 W 44TH AV,Residential,129.674,459.71,64.837,105.915,1175.679,718.195,303.592,328.181,13030,5405,47.2,70,44.3,45.1,4026970.0669390145,0.003235683350858,0,0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1100 E 26TH AV,Residential,135.188,403.884,67.594,216.43,1431.718,1792.095,91.642,115.079,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
2100 W 53RD AV,Residential,5.495,615.652,2.747,295.28,1123.943,2937.076,258.956,398.144,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
1900 W 49TH AV,Secondary Arterial,46.958,79.031,23.479,504.578,746.874,2441.419,152.815,23.479,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,1,0,0,1,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,0
2800 W 45TH AV,Residential,50.45,629.261,25.225,0.0,638.152,3885.181,412.109,423.924,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
6300 HUDSON ST,Residential,50.531,1165.658,25.265,164.321,1391.148,1380.575,173.207,385.41,13030,5405,47.2,70,44.3,45.1,4026970.0669390145,0.003235683350858,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
2300 W 4TH AV,Arterial,172.521,7.154,86.261,377.222,9.432,2763.675,42.999,86.261,43045,15080,57.0,110,40.6,37.7,6367985.032080911,0.006759595034088,1,0,0,0,5.0,4.0,24.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
3200-3400 GRANVILLE ST,Arterial,45.003,77.665,22.502,583.603,125.039,1869.553,50.996,22.501,8430,5910,49.0,205,43.8,45.7,4483905.832021184,0.001880057324085,1,0,0,0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,1,1,0,1,0,0
5500-5600 CHESTER ST,Residential,164.925,94.722,82.462,279.29,85.412,1952.314,95.514,158.509,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
7100-7200 ARBUTUS ST,Residential,124.49,764.859,114.937,293.675,1364.15,2851.664,238.254,318.485,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1600 E 32ND AV,Residential,50.367,524.657,25.184,151.93,1532.908,1378.273,156.692,179.409,49325,12450,58.2,295,40.0,38.8,7258248.7473673215,0.006795716393419,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0
2000 W 44TH AV,Residential,52.685,212.46,26.342,109.004,122.477,2825.024,95.683,126.83,13975,4150,47.1,585,42.9,45.6,6614134.8309304,0.002112899170825,0,0,1,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,1,0
