NUM_Thefts,hblock,streetuse,length,RackDist,InterDist,BikewayDis,ParkDist,StationDis,BusDist,SignalDist,Population,Pop_employ,Empl_rate,Bike_Commu,age_avg,age_median,area,Pop_densit,Arterial,Collector,Residentia,SecArteria,NUM_racks,NUM_parkin,NUM_statio,NUM_bus,NUM_inters,NUM_signal,CompDev,Commercial,Industrial,MultiRes,OneRes,TwoRes
3.848,1300 HOWE ST,Arterial,25.242,0.0316995730468219,0.03311979550757,0.0942151376370998,0.0028730269165029,0.0762226430311371,0.0484551887482245,0.0091413372429089,1.0,1.0,0.7045454545454544,0.38,0.255555555555556,0.1250000000000001,0.3618374627155221,0.5982012308535262,1.0,0.0,0.0,0.0,0.0,0.6785714285714286,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
0.774,3000 PARKER ST,Residential,43.867,0.2727860286583819,0.0575581105445345,0.1866404227372563,0.3766836841365445,0.2280328726483956,0.1913613301845605,0.2714115180849261,0.4921383647798742,0.4221666911656622,0.7402597402597403,0.86,0.4444444444444444,0.5156250000000002,0.8917212266703911,0.1191238120001616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.721,1200 LAMEY'S MILL ROAD,Residential,106.856,0.0882529331872783,0.1143446505756598,0.0079313664868538,0.0693014017560044,0.1500807113066225,0.0035990026168279,0.0411077678187262,0.4744728079911209,0.171541966779362,0.2207792207792206,0.154,0.5666666666666669,0.3671875000000003,0.2113458192260422,0.3869226296186468,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.267,600 E 20TH AV,Residential,55.312,0.0326878359496004,0.0725774916610023,0.3535699683381526,0.2136552792940073,0.2244997777573718,0.0611346536411983,0.0756094345554137,0.2697928227894932,0.6899897104218727,0.584415584415584,0.604,0.2111111111111117,0.2968749999999998,0.39911676202551,0.1413955729200554,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,1.0,1.0
0.88,200-300 E 60TH AV,Residential,45.993,0.4004868638989301,0.0119803380738555,0.0804960381959341,0.2410876809188961,0.176079368763117,0.0364207578644428,0.0723925820438639,0.5277469478357381,0.2587093929148905,0.6201298701298701,0.434,0.1666666666666666,0.2500000000000003,0.6372717832175568,0.1927217973496884,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.725,2600 BURRARD ST,Secondary Arterial,51.184,0.0542911015031721,0.0671607517301287,0.0896020196550169,0.0417180990360048,0.2992318963813583,0.0936352213030325,0.0556564016161768,0.6488161302256752,0.3329413494046744,0.3214285714285713,0.016,0.255555555555556,0.1718750000000002,0.6064457000350847,0.2565003821575806,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.183,1600 PENTICTON ST,Residential,55.057,0.1367837229186615,0.0722415698048241,0.1482202721165491,0.3598019563396769,0.1758103988933036,0.1677965840317656,0.1396466025662384,0.4921383647798742,0.4221666911656622,0.7402597402597403,0.86,0.4444444444444444,0.5156250000000002,0.8917212266703911,0.1191238120001616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.759,2300-2400 HOYLAKE AV,Residential,111.288,0.2468737877706969,0.268829338575114,0.177117817605725,0.7451351376891284,0.4238311373790397,0.0874209859927116,0.2450617221352194,0.4272105068442471,0.0679112156401587,0.2532467532467531,0.176,0.6000000000000006,0.6874999999999999,0.481525661414441,0.1978119680825304,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22.321,400 ABBOTT ST,Arterial,53.358,0.0010687029064929,0.0880010287606845,0.0366085746892972,0.002283892504084,0.0345960630026993,0.0281757023718426,0.0352832438274243,1.0,1.0,0.7045454545454544,0.38,0.255555555555556,0.1250000000000001,0.3618374627155221,0.5982012308535262,1.0,0.0,0.0,0.0,0.0714285714285714,0.2857142857142857,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5.938,2600 COMMERCIAL DRIVE,Secondary Arterial,50.367,0.0011475900143829,0.0660873764240593,0.0272876867920985,0.0018385718554987,0.0110378018637455,0.0342224309114335,0.0182406620008663,0.7649833518312985,0.2556225194767014,0.3603896103896103,0.09,0.1888888888888892,0.2578124999999998,0.7353022439556164,0.2583991568004037,1.0,0.0,0.0,1.0,0.2142857142857142,0.4285714285714285,0.0,0.0,0.25,0.5,0.0,1.0,0.0,0.0,0.0,0.0
